year,oshpd_id,county,hospital,performance_measure,hospital_rating,#_of_cases,#_of_adverse_events,risk_adjusted_rate
2014,106100899,fresno,saint agnes medical center,30-day readmission,average,403.0,33.0,8.94
2014,106100899,fresno,saint agnes medical center,cabg + valve operative mortality,average,92.0,4.0,4.1
2014,106100899,fresno,saint agnes medical center,cabg operative mortality,average,235.0,4.0,1.75
2014,106100899,fresno,saint agnes medical center,post-operative stroke,average,456.0,3.0,0.7
2015,106100899,fresno,saint agnes medical center,cabg + valve operative mortality,average,91.0,4.0,4.58
2015,106100899,fresno,saint agnes medical center,cabg 30-day readmission,average,377.0,36.0,10.27
2015,106100899,fresno,saint agnes medical center,cabg operative mortality,average,221.0,3.0,1.41
2015,106100899,fresno,saint agnes medical center,post-operative stroke,average,412.0,2.0,0.5
2016,106100899,fresno,saint agnes medical center,cabg + valve operative mortality,average,83.0,5.0,4.71
2016,106100899,fresno,saint agnes medical center,cabg operative mortality,average,191.0,4.0,2.42
2016,106100899,fresno,saint agnes medical center,post-operative stroke,average,414.0,4.0,0.98
2017,106100899,fresno,saint agnes medical center,cabg + valve operative mortality,average,83.0,6.0,7.52
2017,106100899,fresno,saint agnes medical center,cabg 30-day readmission,average,372.0,42.0,11.08
2017,106100899,fresno,saint agnes medical center,cabg operative mortality,average,223.0,6.0,2.47
2017,106100899,fresno,saint agnes medical center,post-operative stroke,average,436.0,4.0,0.91
2018,106100899,fresno,saint agnes medical center,cabg operative mortality,average,213.0,9.0,4.41
2018,106100899,fresno,saint agnes medical center,cabg+valve operative mortality,average,526.0,5.0,7.4
2018,106100899,fresno,saint agnes medical center,isolated cabg 30-day readmission,average,526.0,39.0,11.74
2018,106100899,fresno,saint agnes medical center,isolated cabg post-operative stroke,better,526.0,1.0,0.24
2019,106100899,fresno,saint agnes medical center,cabg+valve operative mortality,average,466.0,6.0,9.53
2019,106100899,fresno,saint agnes medical center,isolated cabg 30-day readmission,average,466.0,40.0,13.79
2019,106100899,fresno,saint agnes medical center,isolated cabg operative mortality,average,248.0,7.0,2.74
2019,106100899,fresno,saint agnes medical center,isolated cabg post-operative stroke,average,466.0,2.0,0.5
2020,106100899,fresno,saint agnes medical center,isolated cabg operative mortality,average,218.0,9.0,4.11
2021,106100899,fresno,saint agnes medical center,cabg+valve operative mortality,average,487.0,3.0,4.21
2021,106100899,fresno,saint agnes medical center,isolated cabg 30-day readmission,average,487.0,47.0,14.32
2021,106100899,fresno,saint agnes medical center,isolated cabg post-operative stroke,average,487.0,3.0,0.72
2022,106100899,fresno,saint agnes medical center,isolated cabg operative mortality,worse,251.0,15.0,4.98
2011,106100899,fresno,st. agnes medical center,post-operative stroke,average,529.0,5.0,0.9
2012,106100899,fresno,st. agnes medical center,30-day readmission,average,202.0,21.0,10.15
2012,106100899,fresno,st. agnes medical center,operative mortality,average,240.0,10.0,4.25
2013,106100899,fresno,st. agnes medical center,30-day readmission,average,177.0,14.0,8.29
2013,106100899,fresno,st. agnes medical center,cabg + valve operative mortality,average,81.0,7.0,9.55
2013,106100899,fresno,st. agnes medical center,cabg operative mortality,average,217.0,2.0,1.08
2013,106100899,fresno,st. agnes medical center,post-operative stroke,average,457.0,4.0,0.89
2019,10612108,humboldt,providence st. joseph hospital - eureka,cabg+valve operative mortality,average,53.0,0.0,0.0
2019,10612108,humboldt,providence st. joseph hospital - eureka,isolated cabg 30-day readmission,average,53.0,2.0,4.86
2019,10612108,humboldt,providence st. joseph hospital - eureka,isolated cabg post-operative stroke,average,53.0,2.0,4.72
2020,10612108,humboldt,providence st. joseph hospital - eureka,isolated cabg operative mortality,worse,22.0,3.0,21.79
2021,10612108,humboldt,providence st. joseph hospital â eureka,cabg+valve operative mortality,average,49.0,0.0,0.0
2021,10612108,humboldt,providence st. joseph hospital â eureka,isolated cabg 30-day readmission,average,49.0,3.0,8.39
2021,10612108,humboldt,providence st. joseph hospital â eureka,isolated cabg post-operative stroke,average,49.0,0.0,0.0
2022,10612108,humboldt,providence st. joseph hospital â eureka,isolated cabg operative mortality,average,24.0,0.0,0.0
2011,10612108,humboldt,st. joseph hospital - eureka,post-operative stroke,average,51.0,0.0,0.0
2012,10612108,humboldt,st. joseph hospital - eureka,30-day readmission,average,16.0,0.0,0.0
2012,10612108,humboldt,st. joseph hospital - eureka,operative mortality,average,18.0,0.0,0.0
2013,10612108,humboldt,st. joseph hospital - eureka,30-day readmission,average,20.0,1.0,6.29
2013,10612108,humboldt,st. joseph hospital - eureka,cabg + valve operative mortality,average,11.0,1.0,5.6
2013,10612108,humboldt,st. joseph hospital - eureka,cabg operative mortality,average,20.0,0.0,0.0
2013,10612108,humboldt,st. joseph hospital - eureka,post-operative stroke,average,38.0,0.0,0.0
2014,10612108,humboldt,st. joseph hospital - eureka,30-day readmission,average,34.0,2.0,5.24
2014,10612108,humboldt,st. joseph hospital - eureka,cabg + valve operative mortality,average,9.0,1.0,9.54
2014,10612108,humboldt,st. joseph hospital - eureka,post-operative stroke,average,37.0,0.0,0.0
2015,10612108,humboldt,st. joseph hospital - eureka,cabg + valve operative mortality,average,5.0,0.0,0.0
2015,10612108,humboldt,st. joseph hospital - eureka,cabg 30-day readmission,average,35.0,2.0,5.35
2015,10612108,humboldt,st. joseph hospital - eureka,cabg operative mortality,average,20.0,0.0,0.0
2015,10612108,humboldt,st. joseph hospital - eureka,post-operative stroke,average,38.0,0.0,0.0
2016,10612108,humboldt,st. joseph hospital - eureka,cabg + valve operative mortality,average,6.0,0.0,0.0
2016,10612108,humboldt,st. joseph hospital - eureka,cabg operative mortality,average,18.0,1.0,3.01
2016,10612108,humboldt,st. joseph hospital - eureka,post-operative stroke,average,37.0,0.0,0.0
2017,10612108,humboldt,st. joseph hospital - eureka,cabg + valve operative mortality,average,4.0,0.0,0.0
2017,10612108,humboldt,st. joseph hospital - eureka,cabg 30-day readmission,average,30.0,7.0,27.59
2017,10612108,humboldt,st. joseph hospital - eureka,cabg operative mortality,average,19.0,0.0,0.0
2017,10612108,humboldt,st. joseph hospital - eureka,post-operative stroke,average,32.0,0.0,0.0
2018,10612108,humboldt,st. joseph hospital - eureka,cabg operative mortality,average,13.0,1.0,7.1
2018,10612108,humboldt,st. joseph hospital - eureka,cabg+valve operative mortality,average,47.0,0.0,0.0
2018,10612108,humboldt,st. joseph hospital - eureka,isolated cabg 30-day readmission,average,47.0,8.0,21.01
2018,10612108,humboldt,st. joseph hospital - eureka,isolated cabg post-operative stroke,average,47.0,1.0,2.99
2019,10612108,humboldt,st. joseph hospital - eureka,isolated cabg operative mortality,average,31.0,2.0,5.26
2013,10612108,humboldt,st. joseph hospital  eureka,cabg + valve operative mortality,average,15.0,1.0,10.67
2013,10612108,humboldt,st. joseph hospital  eureka,post-operative stroke,average,37.0,0.0,0.0
2014,10612108,humboldt,st. joseph hospital  eureka,cabg operative mortality,average,17.0,1.0,4.73
2016,106150788,kern,adventist health bakersfield,cabg + valve operative mortality,average,16.0,1.0,7.35
2016,106150788,kern,adventist health bakersfield,post-operative stroke,average,167.0,2.0,1.28
2017,106150788,kern,adventist health bakersfield,cabg + valve operative mortality,average,12.0,1.0,7.43
2017,106150788,kern,adventist health bakersfield,cabg 30-day readmission,worse,111.0,20.0,18.54
2017,106150788,kern,adventist health bakersfield,cabg operative mortality,average,75.0,2.0,3.12
2017,106150788,kern,adventist health bakersfield,post-operative stroke,average,139.0,4.0,3.29
2018,106150788,kern,adventist health bakersfield,cabg operative mortality,average,64.0,1.0,1.76
2018,106150788,kern,adventist health bakersfield,cabg+valve operative mortality,average,134.0,1.0,7.08
2018,106150788,kern,adventist health bakersfield,isolated cabg 30-day readmission,average,134.0,18.0,17.91
2018,106150788,kern,adventist health bakersfield,isolated cabg post-operative stroke,average,134.0,4.0,3.22
2019,106150788,kern,adventist health bakersfield,cabg+valve operative mortality,average,100.0,0.0,0.0
2019,106150788,kern,adventist health bakersfield,isolated cabg 30-day readmission,average,100.0,11.0,13.84
2019,106150788,kern,adventist health bakersfield,isolated cabg operative mortality,average,64.0,0.0,0.0
2019,106150788,kern,adventist health bakersfield,isolated cabg post-operative stroke,average,100.0,3.0,3.25
2020,106150788,kern,adventist health bakersfield,isolated cabg operative mortality,average,36.0,2.0,3.96
2021,106150788,kern,adventist health bakersfield,cabg+valve operative mortality,average,74.0,0.0,0.0
2021,106150788,kern,adventist health bakersfield,isolated cabg 30-day readmission,average,74.0,7.0,12.22
2021,106150788,kern,adventist health bakersfield,isolated cabg post-operative stroke,average,74.0,1.0,1.16
2022,106150788,kern,adventist health bakersfield,isolated cabg operative mortality,average,33.0,2.0,3.48
2011,106154101,kern,bakersfield heart hospital,post-operative stroke,worse,174.0,7.0,3.98
2012,106154101,kern,bakersfield heart hospital,30-day readmission,average,74.0,12.0,16.02
2012,106154101,kern,bakersfield heart hospital,operative mortality,average,80.0,1.0,1.14
2013,106154101,kern,bakersfield heart hospital,30-day readmission,average,70.0,8.0,11.92
2013,106154101,kern,bakersfield heart hospital,cabg + valve operative mortality,average,13.0,1.0,20.9
2013,106154101,kern,bakersfield heart hospital,cabg operative mortality,average,79.0,3.0,4.11
2013,106154101,kern,bakersfield heart hospital,post-operative stroke,average,129.0,3.0,2.91
2014,106154101,kern,bakersfield heart hospital,30-day readmission,worse,82.0,19.0,25.63
2014,106154101,kern,bakersfield heart hospital,cabg + valve operative mortality,average,10.0,1.0,20.83
2014,106154101,kern,bakersfield heart hospital,cabg operative mortality,average,50.0,1.0,2.13
2014,106154101,kern,bakersfield heart hospital,post-operative stroke,average,99.0,3.0,3.6
2015,106154101,kern,bakersfield heart hospital,cabg + valve operative mortality,average,4.0,0.0,0.0
2015,106154101,kern,bakersfield heart hospital,cabg 30-day readmission,worse,86.0,20.0,25.08
2015,106154101,kern,bakersfield heart hospital,cabg operative mortality,worse,49.0,6.0,17.56
2015,106154101,kern,bakersfield heart hospital,post-operative stroke,average,98.0,2.0,2.27
2016,106154101,kern,bakersfield heart hospital,cabg + valve operative mortality,average,7.0,0.0,0.0
2016,106154101,kern,bakersfield heart hospital,cabg operative mortality,average,49.0,1.0,2.11
2016,106154101,kern,bakersfield heart hospital,post-operative stroke,average,115.0,1.0,0.93
2017,106154101,kern,bakersfield heart hospital,cabg + valve operative mortality,average,16.0,0.0,0.0
2017,106154101,kern,bakersfield heart hospital,cabg 30-day readmission,average,129.0,14.0,11.17
2017,106154101,kern,bakersfield heart hospital,cabg operative mortality,average,66.0,2.0,2.84
2017,106154101,kern,bakersfield heart hospital,post-operative stroke,average,144.0,2.0,1.53
2018,106154101,kern,bakersfield heart hospital,cabg operative mortality,average,78.0,0.0,0.0
2018,106154101,kern,bakersfield heart hospital,cabg+valve operative mortality,average,191.0,1.0,8.06
2018,106154101,kern,bakersfield heart hospital,isolated cabg 30-day readmission,worse,191.0,26.0,18.8
2018,106154101,kern,bakersfield heart hospital,isolated cabg post-operative stroke,average,191.0,1.0,0.78
2019,106154101,kern,bakersfield heart hospital,cabg+valve operative mortality,average,179.0,2.0,20.69
2019,106154101,kern,bakersfield heart hospital,isolated cabg 30-day readmission,average,179.0,22.0,15.85
2019,106154101,kern,bakersfield heart hospital,isolated cabg operative mortality,average,102.0,4.0,4.6
2019,106154101,kern,bakersfield heart hospital,isolated cabg post-operative stroke,average,179.0,0.0,0.0
2020,106154101,kern,bakersfield heart hospital,isolated cabg operative mortality,average,77.0,2.0,3.05
2021,106154101,kern,bakersfield heart hospital,cabg+valve operative mortality,average,105.0,1.0,21.84
